Mes,Día,Ending Diario,Ending Especial / Secundario,Alternative Ending,Backup Fact of the Day
,13,"ON THIS DAY… on April 13, 2000, the heavy metal group Metallica sues Napster, alleging copyright infringement and racketeering. This lawsuit, later joined by Dr. Dre, as well as other lawsuits from the RIAA, eventually caused the original Napster service to shut down and file bankruptcy. However, the Pandora’s Box that Napster opened could not be closed and digital distribution changed the music industry forever. ",,,
,14,"ON THIS DAY… on April 14, 1996, nineteen year old Jennifer Kaye Ringley takes several webcams and places them within her house. For the next seven years, she would livestream her life to all on the Internet on the so-called JenniCam. Ringley's innovation was simply to allow others to view her daily activities. She was the first web-based ""lifecaster"". ",,,
,15,"ON THIS DAY… on April 15, 2005, the Damn Small Linux program was released, a Linux distribution that was designed to take up as little drive space as possible. John Andrews – DSL’s developer – never allowed the ISO to go past 50 MB in size so you would be able to put DSL onto a (of the time) CD or USB drive if needed. ",,,
,16,"ON THIS DAY… on April 16, 1959, the programming language that provided the basis for work in artificial intelligence, LISP, has its first public presentation. Created by John McCarthy, LISP offers programmers flexibility in organization and it or its descendants are still used in the AI development environment. ",,,
,17,"ON THIS DAY…  on April 17, 2000, five aerial images of Area 51 are leaked onto Terraserver from a Russian satellite called “Sovinformsputnik. They were the first ever high-resolution satellite images of Area 51. The amount of traffic that went to the site brought the server down. ",,,
,18,"ON THIS DAY… on April 18, 1986, newspapers report that IBM had become the first computer manufacturer to use a megabit chip -- a memory chip capable of storing 1 million bits of information -- in a commercial product, its Model 3090. The announcement is heralded as a notable triumph for American computer makers, whose work had been perceived as having fallen behind that of the Japanese electronics industry. ",,,
,19,"ON THIS DAY… on April 19, 1957, researchers run the first FORTRAN program. Short for ""FORmula TRANslator,"" FORTRAN enabled computer programmers (""coders,"" at the time) to work in a ""high-level"" language, greatly simplifying program writing. The first FORTRAN program (other than internal IBM testing) runs at Westinghouse, producing a missing comma diagnostic. A successful attempt followed. ","ON THIS DAY… on April 19, 1965, Moore’s Law was published. This states that every 18 months, a processor will double in speed. The law’s name is coined after Intel co-founder Gordon E. Moore. He said: It can’t continue forever. The nature of the exponential is that you push them out and eventually disaster happens. The law started with the Integrated circuit. It has continued to this day – especially since we switched ideas and, instead of speeding up, we double the amount of processors.",Día Mundial de Los Simpsons,
,20,"ON THIS DAY… on April 20, 2009, Oracle announces they have purchased Sun Microsystems in a $7.4 billion dollar deal. This includes stock at $9.50 / share. That would also be the acquisition of SPARC processors, Solaris OS, Java and MySQL, among other items. The deal would be finalized on January 27th 2010",,,
,21,"ON THIS DAY… on April 21, 1977, MITS enters fight vs Bill Gates & Microsoft regarding 8080 BASIC. Two days prior, Microsoft send MITS a letter with the allegation that they were not up on royalty payments and if they didn’t catch up, MITS would be in breach and the 8080 BASIC would be pulled. MITS sends a letter stating that they are not correct. Ultimately, this would begin a debate that would end in November when Microsoft pulled the 8080 BASIC out.   ",2011 - Zoom foundation,Día Mundial de la Creatividad,
,22,"ON THIS DAY… on April 22, 1993, the National Center for Supercomputing Applications releases version 1.0 of the Mosaic Web Browser. It was the first browser with a Graphical User Interface for content. Marc Andreesen and Jim Clark were the lead developers. The browser would take the internet by storm and continue to lead until 1998 when IE and Netscape came on the scene. ",Día Mundial de la TIerra,,
,23,"ON THIS DAY… on April 23, 1964, the Standards Eastern Automatic Computer (SEAC) is retired after fifteen years. SEAC was the first to use all-diode logic. SEAC was bason on EDVAC. It had 747 vacuum tubes, and the clock rate was under 1 mHz. ",Día Internacional del Libro,,
,24,"ON THIS DAY… on April 24, 1984, Apple introduces the Apple IIc, their answer to a portable machine. It weighed 7 1/2 lbs and featured a 1.023MHz CPU and 128 KB RAM and sold at $1,295. The device device had a built-in floppy and peripheral expansion ports. This was a closed system – no expansion slots to plug in cards. It was deemed an appliance computer, which meant was ready to go when you pulled it out of the box. ",,,
,25,"ON THIS DAY… on April 25, 1980, Activision was formed. It was technically founded in 1979, but it wasn’t until April 25 that the “Fantastic Four” joined up as the first third-party software company for video games. David Crane and Alan Miller left Atari August 1979 to start programming under the Activision name. Larry Kaplan and Bob Whitehead stayed behind until April 25th when Activision came out. Richard Muchmore was the venture capitalist and Jim Levy rounded the group as Activision’s CEO. ",,,
,26,"ON THIS DAY… on April 26, 1983, the TRS-80 Model 4, or the Trash-80, as it was so admirably called in the day, is introduced. It contains a 4 MHz processor, 16 KB of RAM, a cassette interface, Keyboard and Monochrome monitor. $1000 for the base model, or $2000 if you upgraded the RAM to 64 KB and 5.25 disk drives. The first TRS-80 was released in 1977. ",,,
,27,"ON THIS DAY… on April 27, 1998, Koko the gorilla gets on AOL chat. Using AOL chat, a sign language interpreter and an active audience, a female gorilla named Koko answered questions to the public. Koko resides at the Gorilla Foundation and with a vocabulary of 2,000 words, was able to respond to the chat room. ",Día Mundial del Diseño Gráfico,,
,28,"ON THIS DAY… on April 28, 2003, Apple launches the iTunes Store. iTunes had been around since 2001, but without option to get new music. The store sold 1 million songs within a week as Apple became the biggest music vendor in the US in 2008. With 28 million songs, over 1 million podcasts, 40,000 music videos, 3,000 shows and even the Beatles library, iTunes music store continues to dominate the market. ",,,
,29,"ON THIS DAY… on April 29, 2004, Google files the S-1 form with SEC for their IPO. They said they wanted to raise US$2,718,281,828; a Mathematical algorithm based on the day they filed. The form can be found at SEC.gov The stock finally started trading on August 19, 2004 at $85 a share in a unique online auction. ",,,
,30,"ON THIS DAY… on April 30, 1993, the World Wide Web was transferred to public domain. Tim Berners-Lee wrote WorldWideWeb during the 1990, while working for CERN. He did it on a NeXT Computer and developed it for the NeXTSTep platform (which Apple bought and turned into Mac OS X). But it was today that was most momentous, as the World Wide Web entered in the public domain. That meant anyone could access without license fees. Now a person could apply style sheets or post media on the web. The initial web browser was also the web editor. ",Día Internacional del Jazz,,
Mayo,1,"ON THIS DAY… on May 1, 1964, the first BASIC program is written.
Thomas Kurtz and John Kemeny launched a timesharing system at Dartmouth College using their simple, user-friendly language, BASIC (Beginner's All-Purpose Symbolic Instruction Code). Kurtz and Kemeny wanted to create a language their students could learn quickly for use on the timesharing system, which allows several users to run their programs at the same time on one processor. ",Día Mundial del Trabajador,,
,2,"ON THIS DAY… on May 2, 1983, Microsoft announces the two-button Mouse, which it introduced to go along with its new Microsoft Word processor. Microsoft built about 100,000 of these fairly primitive units for use with IBM and IBM-compatible personal computers but sold only 5,000 before finding success in a 1985 version that featured, among other improvements, near-silent operation on all surfaces.  ","ON THIS DAY… on May 2, 1965, Satellite Intelsat I, aka Early Bird, went into service. This geosynchronous satellite sent the first signal between nine different countries. A One Hour TV Spectacular was broadcast to Europe from the US, Canada, and Mexico. Intelsat I went up in space on April 6, 1965 and had only 240 voice circuits, so it could only transmit one TV channel at a time. It was one of three satellites that broadcast the first landing on the moon in 1969.",,
,3,"ON THIS DAY… on May 3, 1978, the earliest known case of spam was sent. Today, unsolicited bulk email--better known as spam--accounts for up to 90% of all email messages, but it wasn't until this date in 1978 that the first spam was sent. Gary Thuerk, a Digital Equipment Corporation marketer, composed a message promoting the DECSYSTEM-20 computer. The message promoted two upcoming product presentations of the DECSYSTEM-20 accessing the ARPANET. The reaction to the message was swift and highly negative, including one who claimed that the message shut down his system. ",,,
,4,"ON THIS DAY… on May 4, 2000, the Love Letter computer virus, aka the “ILOVEYOU” bug, spreads to personal computers running Windows around the world in just six hours. Spreading through e-mail, the virus entices victims to open the message with the subject of “ILOVEYOU”. About 2.5 to 3 million PCs will become infected. The cost of system downtime is later estimated at $8.7 billion. It is thought to be the fastest-moving and most widespread virus in history. ",Día de Star Wars,,
,5,"ON THIS DAY… on May 5, 1999, Microsoft launched Windows 98 SE (Second Edition) in an effort to fix some minor issues, improve USB support and upgrade Internet Explorer. The upgrade version also improved WDM audio and modem support, shell updates and Web Folders (WebDAV). This was the last release of the 9x series. Windows 98 SE were officially retired on July 11, 2006. ","ON THIS DAY… on May 5, 1992, Wolfenstein 3D blasts onto scene as Id Software Inc. releases the game Wolfenstein 3D, the original first person shooter game for DOS computers. The game becomes an instant success, putting id Software on the map and launching the first person shooter genre. If you’re curious, you can play the game today on an iPod Touch, iPhone, or iPad.",,
,6,"ON THIS DAY… on May 6, 1998, at the Flint Center Theater, the same place where the Mac was first unveiled in 1984, Steve Jobs introduces the original iMac. This iMac was later known as the “Bondi Blue”, after the color of its case (named for a beach in Australia). According to Jobs, the iMac is “the Internet-age computer for the rest of us.” Apple will book an unprecedented 150,000 orders before its release, marking the beginning of Apple’s renaissance. It also ushered in the era of Apple adding the letter “i” to just about every product it created.  ",,,
,7,"ON THIS DAY… on May 7, 1967, video game developer Ralph Baer plays first two-player game: Fox and Hounds. It was a game where the fox (a red dot) was chased by the hounds (white dots). The controller were two knobs – horizontal and vertical. You would see how long you could avoid the hounds. This was part of a series of more complex video games including shooting games, handball and Ping Pong, ultimately leading to the Magnavox Odyssey TV game system in 1972. Baer passed away on December 8, 2014. ",,,
,8,"ON THIS DAY… on May 8, 2006, at a press conference before E3, Sony announced the Playstation 3 gaming console. This would be for a November 17 release and would feature items like Bluetooth wireless controllers, Wi-Fi and HDMI video output, and more. The system also will contain a Blu-ray disc system and pre-installed HDD. ",,,
,9,"ON THIS DAY… on May 9, 1996, Linus Torvalds decides to adopt Tux the penguin as a mascot for the Linux operating system. Perhaps had he known the movie Happy Feet would be released a little over 10 years later, he would have chosen a Warbler instead. ",,,
,10,"ON THIS DAY… on May 10, 1954, Texas Instruments introduces a silicon-based junction transistor. Engineer Gordon Teal brought the price of this component down to $2.50. A Texas Instruments news release read, ""Electronic ‘brains’ approaching the human brain in scope and reliability came much closer to reality today with the announcement by Texas Instruments Incorporated of the first commercial production of silicon transistors kernel-sized substitutes for vacuum tubes."" ",,,
,11,"ON THIS DAY… on May 11, 1997, Deep Blue won its final match against Chess master Garry Kasparov, becoming the first computer to defeat a chess champion in match play. ",,,
,12,"ON THIS DAY… on May 12, 1936, University of Washington education professor August Dvorak received a patent for his new more efficient keyboard layout. Key letters were together so you would “roll” words. T was next to H, N was next to S. The sub-dominant hand would take care of vowels and lesser-used consonants, while the dominant hand took care of most of the consonants. While recognised as superior to the QWERTY layout, the Dvorak keyboard is not widely used. ",,,
,13,"ON THIS DAY… on May 13, 1980, Digital Equipment, Intel, and Xerox jointly announce the Ethernet network specification, it was later standardized as IEEE 802.3 in 1983. Ethernet is the predominant networking standard of today’s business and home networks. ",,,
,14,"ON THIS DAY… on May 14, 1992, Texas Instruments decided to take on the dominance of Intel, announcing its own 486 microprocessor chip. Cyrix corp. designed the chip for TI, but it proved unsuccessful in weakening Intel’s dominance. ",,,
,15,"ON THIS DAY… on May 15, 1997, Amazon stock went public on NASDAQ. The company was founded in 1994 and is headquartered in Seattle, Washington. ",,,
,16,"ON THIS DAY… on May 16, 1960, physicist Theodore Maiman creates the first laser light, using a synthetic-ruby crystal device. He was not the first to develop the theories behind lasers nor first to apply for patents, but he was the first to create an operating laser device. The light produced by this device was not a true beam as we think of most lasers today, but rather a pulse. Other researchers would create the first laser beam soon after. ",,,
,17,"ON THIS DAY… on May 17, 1902, while going through objects recovered by divers near Antikythera off the coast of Greece, archaeologist Valerois Stais discovered a strange device with gear-wheels inside. The Antikythera mechanism has been puzzling investigators for more than a hundred years, as it is the world's first analogical computer, used by ancient Greeks to chart the movement of the sun, moon and planets and even signal the Olympic Games. ",Día de Internet,,
,18,"ON THIS DAY… on May 18, 1998, the US Justice Department and twenty states file an antitrust lawsuit against Microsoft. The plaintiffs alleged that Microsoft abused monopoly power regarding operating system and Web browser sales. The central issue was whether it was monopolistic of Microsoft to bundle Internet Explorer software with its Windows operating system. Microsoft ultimately avoided a breakup of its operating system and other divisions, but was subject to a consent decree that disallowed some anti-competitive business practices. ","ON THIS DAY… on May 18, 2001, the computer animated movie “Shrek” hits theaters. The 90 minute movie was produced on a $60 million budget and although its first weekend only saw $42 million , the overall theatrical run brought in $487 million. Shrek was the first computer animated film to win an Academy Award (Best Animated Feature).",,
,19,"ON THIS DAY… on May 19, 2006. Apple 'Cube' shop opens in Big Apple. It is Apple’s second retail store in New York City, a 20,000-square foot store situated in the underground concourse of the General Motors building at 767 Fifth Avenue. New Yorkers stood in line for hours in order to be among the first to enter. Open 24-hours a day, the shop is visible at street level through a 32-foot glass cube. It cost $9 million and was designed by Apple’s CEO Steve Jobs. ","ON THIS DAY… on May 19, 1999, sixteen years after “Return of the Jedi”, George Lucas finally moves his vision forward with “Star Wars: Episode I – the Phantom Menace”. The story of young Anakin Skywalker and how Obi-Wan Kenobi brought him in, trained him, and ultimately lost him to the dark side. Episode I grossed over $924.3 million worldwide and became one of the highest-grossing films of 1999.",,
,20,"ON THIS DAY… on May 20, 2013, Yahoo acquired Tumblr in a $1.1 billion deal. This caused many concerns for those using the service – especially those who curate blogs with pornographic content. However, Yahoo insisted they will be running Tumblr as a separate company and will not interrupt any account unless it breaks laws (such as child pornography). Yahoo did de-list a lot of those blogs in their search a couple months later to give others a clean-search experience. ",,,
,21,"ON THIS DAY… on May 21, 1952, IBM announced the Model 701, the first computer designed for scientific calculation. The 701 used electrostatic storage tube memory and kept information on magnetic tape. It sold much better than expected with 19 governments and large companies snapping them up. ",,,
,22,"ON THIS DAY… on May 22, 1980, Namco released an arcade game called Puck-Man. When it was released in the US in October the name was altered to Pac-Man. One of the little known facts about Pac-Man is that it was specifically developed to be popular with women. Most video games of that time had a war or sports theme to them and women were generally not interested in those games. Pac-Mac would be the first game popular with both men and women and was the first video game to become a social phenomenon. Pac-Mac generated over $2.5 billion by the 1990’s, becoming one of the highest grossing video games of all time.","ON THIS DAY… on May 22, 1973, Ethernet is Proposed by Robert Metcalfe, who writes a thirteen-page memo describing a new type of data transmission method. His memo was entitled “Ether Acquisition”, which would connect Hawaii’s ALOHA Network. Ethernet was born on paper, but didn’t see operation until November 11, 1973 when it was implemented. Metcalfe was awarded the IEEE Medal of Honor in 1996 for his work on inventing Ethernet. He was also inducted into the National Inventors Hall of Fame in 2007. ",,
,23,"ON THIS DAY… on May 23, 2002, Netflix began selling its stock publicly on the NASDAQ. It rose from its initial price, unusual for the time when tech company stocks were generally in poor shape. Following Investopedia, if you had bought 1 share of NFLX at its IPO back in 2002 at $15 a share, you would have made $365 in profit, or 2,433%",,,
,24,"ON THIS DAY… on May 24, 1985, Quantum Computer Services (AOL) was founded. Technically, it was a reorganization of Control Video Corporation, a company that started in 1983. The company was selling online service “Gameline” to Atari 2600 users. You would pay $49.95 for the modem and also a one-time $15 setup fee. The company changed to sell Quantum Link for Commodore 64 and 128 consoles. Eventually, they would get into AppleLink and PC Link. Quantum Computer Services eventually (October 1989) changed their name to America Online (AOL). ",,,
,25,"ON THIS DAY… on May 25, 1977, the motion picture Star Wars is released in thirty-two US theaters. The film will immediately break records unlike any before it, essentially becoming the first blockbuster in history. The film’s unprecedented use of special effects sparked a revolution of movies using technology-based visual effects. Perhaps the film’s greatest contribution to technology was the creation two years earlier of the company Industrial Light and Magic, which is still the leading special effects house in the industry. ","ON THIS DAY… on May 25, 1994, the CERN hosted the first international World Wide Web conference, which continued through May 27. At the conference, researchers expanded on Tim Berners-Lee's concept of a single storage facility for a variety of information -- a design that would greatly aid his research at CERN, where he previously had to use a number of different programs and locations to collect what he needed. While participants understood the usefulness of Berners-Lee's concept and HyperText Markup Language, few guessed how quickly the Web would expand to millions of users globally.",Día del Orgullo Friki,
,26,"ON THIS DAY… on May 26, 1995, Bill Gates authored an internal memo entitled “The Internet Tidal Wave” calling the Internet the most important development since the IBM personal computer, a development that he was assigning “the highest level of importance.” Still, it is curious why it took someone who was regarded as a technology “innovator” so long to realize this. ",,,
,27,"ON THIS DAY… on May 27, 2003, WordPress was released. Matt Mullenweg and Mike Little created a Fork of B2/cafelog. From there, WordPress was born. Since its release, WordPress has taken over Content Management Systems (CMS) with its ease of use and plethora of programmers that have made plugins, themes and other tweaks to the system since. The current version is 4.9.5 which has been downloaded over 18 million times. ",,,
,28,"ON THIS DAY… on May 28, 2014, Apple announced they were going to acquire Beats Music and Electronics in a $3 billion deal. As part of the acquisition, co-founders Dr. Dre and Jimmy Iovine would join Apple. Beats subscription service would continue to work as part of the service would be integrated with iTunes. Currently, Beats has a 20 million song library, and is available for iOS, Android, and Windows Phone for a $9.99 subscription. 
","ON THIS DAY… on May 28, 1971, the USSR launched Mars 3. It would arrive at Mars in December and its lander would become the first spacecraft to land successfully on Mars.",,
,29,"ON THIS DAY… on May 29, 1999, the five million domain names were reached. Believeinkids.com became the five-millionth domain name in the world. At the time, a domain name cost $70 for the first year, $35 a year thereafter. The domain name was abandoned for a while and only recently became active again. ",,,
,30,"TODAY… The over 10K Bonilista subscribers will be receiving a voucher that will allow them to purchase Tarugoconf tickets. This year it won’t only be allowed to purchase single tickets, but double ones. Subscriptors will be able to purchase the tickets on June 2. Purchase will be open to non-subscriptors a week later. GO GET THEM, THERE ARE ONLY 500!! ","ON THIS DAY… on May 30, 1979, Capsule Computer was founded in Japan as a video game development and distribution company. Its name, Capcom, is derived from the combination of the first three letters of each word. Capcom is recognized as one of the top five game developers and distributors. They released two iconic and long-lasting game series, Street Fighter and Megaman.",,
,31,"ON THIS DAY… 13 on May 31, 2006 Swedish police raid the host of the Pirate Bay BitTorrent. On the same day, the Pirate Bay political party increased their numbers by 500, with an additional 930 joining the following day. The site stayed down for 3 days, but came back to double the traffic due to the media coverage. 
","ON THIS DAY… on May 31, 1991, the origin of the meme “All Your Base Are Belong To Us” was created as Sega released the video game Zero Wing for the Sega Mega Drive system in Europe. The game was never released in North America, and was relatively unknown until years later when the poorly translated opening scene was popularized on the Internet. The most famous mistranslation is the phrase “All your base are belong to us,” which has become a very popular Internet meme.",,
Junio,1,"ON THIS DAY… on June 1, 1999, the music industry changed forever as Shawn Fanning and Sean Parker release the filesharing service Napster. The service provides a simple way for users to copy and distribute MP3 music files. It becomes an instant hit, especially among college students. Just over 6 months later the Recording Industry Association of America (RIAA) will file a lawsuit against the service, alleging mass copyright infringement. Eventually this lawsuit will force the shutdown of the company, but not before the popularity of downloading digital music is firmly entrenched in a generation of Internet users. ",Día Mundial de los Padres,,
,2,"ON THIS DAY… on June 2, 2014, Apple announced OS X Yosemite and iOS8 at its Worldwide Developers Conference in San Francisco. Among the features were the ability to answer phone calls on your OS X computer, the ability for iOS apps to talk directly to each other, third-party keyboards for iOS, and a new programming language called Swift. ",,,
,3,"ON THIS DAY… on June 3, 1983, the science fiction film WarGames is released. Notable for bringing the hacking phenomena to the attention of the American public, it ignites a media sensation regarding the hacker sub-culture. The film’s NORAD set is the most expensive ever built at the time at a cost of $1 million dollars. Not widely known is that the movie studio provided the film’s star, Matthew Broderick, with the arcade games Galaga and Galaxian so he could get first-hand experience before shooting the film’s arcade scenes.",,,
,4,"ON THIS DAY… on June 4, 2010, Falcon 9 version 1.0 became the maiden flight of the SpaceX Falcon 9 rocket, which launched from Cape Canaveral Air Force Station Space Launch Complex 40. The initial Falcon 9 1.0 flew five times from June 2010 to March 2013; version 1.1 flew fifteen times from September 2013 to January 2016. The ""Full Thrust"" version has been in service since December 2015, with several additional upgrades. ",,,
,5,"ON THIS DAY… on June 5, 1983, Coleco announced at the Consumer Electronics Show the Coleco Adam. It was their first attempt at a computer hybrid system – gaming and desktop computing. The $725 price tag didn’t hurt, either. With a Zilog Z80 processor and 80 kB RAM with 16 kB video RAM, the Adam could do what you needed. Also available was a printer, tape drive, and spots for 3 expansion cards. Unfortunately, the computer didn’t do as well as the company wanted. They expected a half-million sold by December, but didn’t reach that goal. Ultimately, the Coleco Adam was discontinued in 1985. ",,,
,6,"ON THIS DAY… on June 6, 1984, the Soviet programmer Alexei Pazhitnov completed the first playable version of Tetris, one of the best-selling video games of all-time, was released. It was popularized by Hank Rogers who bought the rights and distributed it worldwide.",,,
,7,"ON THIS DAY… on June 7, 1975, Sony releases the first home Betamax videocassette recorder in the US. The magnetic tape media was the first to be on the market, as VHS didn’t come around until 1976. Many believed Betamax was the better of the two in quality. Many TV and professional recording companies used the format almost til the end of their lifetime. Of course, in 1984, the players were under major fire for copyright infringement from Universal. However, it was ruled that although they could record the content, it was not their responsibility if someone used it for illegal activity. Sony finally stopped producing the player and tapes on August, 2002.",,,
,8,"ON THIS DAY… on June 8, 2006 US House of Representatives voted down the Net Neutrality Amendment. The amendment would have formalized Net neutrality policies, a move lobbied for and favored by a number of Silicon Valley tech companies. The vote was split closely down partisan lines, with most dissenting votes coming from the Republican side of the House, while the majority of Democrats were in favor of it. Net neutrality, which calls for an open Internet with no favoritism granted towards certain users, providers, or types of streaming services and data, has been an ongoing debate, especially in the US and Europe.",,,
,9,"ON THIS DAY… on June 9, 1993, the motion picture Jurassic Park premiers. The contributions of Jurassic Park to the field of special effects is perhaps as important as the original Star Wars movie 16 years prior. Computer generated imagery (CGI) in a large scale was incorporated. By interweaving the use of CGI and animatronics, the movie’s special effects were of a realism unprecedented at the time. Jurassic Park jump started a wave of movies that made heavy use of CGI throughout the rest of the 90’s, and at present, the use of CGI pioneered by the movie is now entirely commonplace.",,,
,10,"ON THIS DAY… on June 10, 1998, Seiko introduces the world’s first wearable PC watch called the Ruputer. It was marketed under the OnHand PC name. The Ruputer had a 3.6 MHz processor and 2 MB of non-volatile storage. The 102×64 monochrome LCD could display data or play games with its integrated joystick with six function buttons. This watch could download pictures and had three applications that ran on Windows 95. Ruputer cost was $285.",,,
,11,"ON THIS DAY… on June 11, 1978, Texas Instruments Inc. introduced Speak & Spell, a talking learning aid for ages 7 and up. Its debut marked the first electronic duplication of the human vocal tract on a single chip of silicon. Speak & Spell utilized linear predictive coding to formulate a mathematical model of the human vocal tract and predict a speech sample based on previous input. It transformed digital information processed through a filter into synthetic speech and could store more than 100 seconds of linguistic sounds.",,,
,12,"ON THIS DAY… on June 12, 1997, 3COM and US Robotics complete merger in a $6.6 billion stock swap. This would add to 3Com’s computer networking company against Cisco as they would become the second largest networking company. Eventually, Hewlett-Packard acquired 3Com in 2010 and the companies products were merged into the HP name.",,,
,13,"ON THIS DAY… on June 13, 1983, the first man-made object left the Solar System as the NASA space probe Pioneer 10 crosses the orbit of Neptune, becoming the first man-made object to leave the Solar System. It was launched on March 2, 1972 toward the red star Aldebaran, which forms the eye of the constellation Taurus. The last contact with Pioneer 10 was on January 23, 2003.",,,
,14,"ON THIS DAY… on June 14, 1822, Charles Babbage unveils his design for a machine he called the Difference Engine, the first example of a mechanical computing machine. The British government funded the building of a Difference Engine, which Babbage never actually completed. However, Babbage’s design for the Difference Engine and his later Analytical Engine spurred future designs of working mechanical computers. In 1991 a working Difference Engine was constructed using Babbage’s plans, proving that his designs would have worked.",,,
,15,"ON THIS DAY… on June 15, 2006, Bill Gates, chairman of Microsoft (Steve Ballmer was CEO at this point) announces that he will transition out of his day-to-day role at Microsoft by July 2008 in order to dedicate more time to the Bill and Melinda Gates Foundation.",,,
,16,"ON THIS DAY… on June 16, 1993, Time-Warner, Microsoft and Tele-Communications Inc. announced a joint venture designed to ""combine the worlds of computing and television and perhaps shape how much of popular culture is delivered."" The development of interactive television software -- which would allow consumers to shop, bank, and use the World Wide Web via their home television sets -- seemed the next route to take in making technology accessible and useful at home.",,,
,17,"ON THIS DAY… on June 17, 1997, a group of users organized over the Internet cracked the Data Encryption Standard (the strongest legally exportable encryption software in the United States) after five months of work. The United States bans stronger encryption software out of fear that it would be used by terrorists, but companies designing the software say such restrictions are worthless because foreign countries offer much stronger programs.",,,
,18,"ON THIS DAY… on June 18, 1979, Microsoft BASIC is introduced for the 8086 16-bit microprocesso, making it compatible with their 8-bit versions and thus helped move forward 16-bit computing. But perhaps more importantly, by developing for 8086, they soon formed a relationship with Seattle Computer Products (SCP), one of the first companies building computers with an 8086 processor. In 1980 SCP was forced to develop an operating system for their computers because a version of the very popular CP/M operating system was delayed for the 8086. It was this 8086 operating system, which SCP called QDOS (for Quick and Dirty Operating System), that Microsoft soon bought the rights for and licensed to IBM for their new PC. And MS thus began their transformation from a simple software development company in the early history of personal computing to one of the most dominant technology companies in history.",,,
,19,"ON THIS DAY… on June 19, 1984, the X Window System (X11, or simply X) originated at the Project Athena at the Massachusetts Institute of Technology (MIT) by Jim Gettys and Bob Scheifler. X11 is a windowing system for bitmap displays, common on Unix-like operating systems, and provides the basic framework for a GUI environment: drawing and moving windows on the display device and interacting with a mouse and keyboard.",,,
,20,"ON THIS DAY… on June 20, 2014, Microsoft and Google agree to the Kill Switch technology for smartphones. In a California bill SB-967, smartphones built after July 1, 2015 will consist of a hardware or software option to “kill” the phone. Further, a $500 to $2,500 fine will be issued to anyone selling a stolen phone. Once switched, the device will not be able to turn on, even during a hard reset.",,,
,21,"ON THIS DAY… on June 21, 2004, the first private space flight took place. Financed by Microsoft co-founder Paul Allen, SpaceShipOne becomes the first spacecraft developed by the free market to enter spaceflight. Launched from a mothership named White Knight, SpaceShipOne flew just beyond the atmosphere into the threshold of space then glided back to Earth. SpaceShipOne would later win the $10 million Ansari X Prize for the first non-government organization to launch a reusable manned spacecraft.","Día de la Música
Comienza el verano",,
,22,"ON THIS DAY… on June 22, 1996, Quake, the successor to the first-person shooter Doom, was released by id Software with music composed by Trent Reznor. The Quake engine offered full real-time 3D rendering and had early support for 3D acceleration through OpenGL. It also added several multiplayer options.",,,
,23,"ON THIS DAY… on June 23, 1912, computer pioneer Alan Turing was born. Turing, a British mathematician, logician and cryptanalyst, played key roles in the conception and theoretical underpinnings of electronic computers. As a codebreaker during World War II, Turing led the team that cracked the ""unbreakable"" Enigma code used by the German high command for battlefield communications. Turing is best-known today for his work on the idea of a ""universal computer,"" one that could run any program. Turing died under mysterious circumstances from cyanide poisoning in 1954, though it was officially declared suicide. He was 41.",,,
,24,"ON THIS DAY… on June 24, 2008, Nokia acquires Symbian and makes it Open Source. They originally owned 46% of the company, and bought out the remaining 54% for $410 million. But then the company turned around and created the Symbian Foundation – a group that would house and give away the software code. The group and software would remain functioning until 2010. Symbian Foundation then closed, citing that it would change to a legal entity, responsible for licencing software and intellectual property. The transition completed in 2011.",,,
,25,"ON THIS DAY… on June 25, 1967, the very first Consumer Electronics Show (CES) opened in New York occupying the Americana and New York Hilton Hotels. It was devoted to home entertainment electronics and featured such advances as portable color TVs and video tape recorders.",,,
,26,"ON THIS DAY… on June 26, 1997, Ericsson, Motorola, Nokia and Unwired Planet created a partnership to start and build on the Wireless Applications Protocol (WAP) as a non-profit organization. The industry group was formed to keep wireless devices on track, bring Internet connected devices to all who need it, create a wireless protocol that works on all network technologies, make scalable applications and content, and work with existing standards to expand as wireless needs grow.",,,
,27,"ON THIS DAY… on June 27, 1972, Atari, the iconic video game company, is founded by Nolan Bushnell and Ted Dabney. Their first video game, Pong, was the first commercially successful video game and led to the start of the video game industry. In 1977, Atari’s Video Computer System (known as the VCS and later the Atari 2600) popularized the home video game market. Before the video game crash of 1983, Atari was the fastest growing company in the history of the United States at the time, and the brand was synonymous with video games.",,,
,28,"ON THIS DAY… on June 28, 1965, officials in the US and Europe conducted the first commercial telephone conversation over satellite as Intelsat I, the first commercial communications satellite, is activated for service. It was nicknamed “Early Bird” after the famous proverb, and became famous for carrying the first commercial telephone calls between America and Europe, as well as helping provide TV coverage of the Gemini 6 splashdown.",,,
,29,"ON THIS DAY… on June 29, 2007, nearly 6 months after it was introduced, Apple’s highly-anticipated iPhone goes on sale. The iPhone was greeted by long lines of buyers on that first day. Quickly becoming an overnight phenomenon, one million iPhones were sold in only 74 days. Since those early days, the ensuing iPhone models have continued to set sales records and have completely changed not only the smartphone and technology industries, but the world as well.","ON THIS DAY… on June 29, 2022, first edition of #FredCon took place. #FredCon is Manfred's original event around HR and Recruiting. Its first edition was celebrated in Teamlabs, Madrid, and around 90 people were present. ",,
